crash_date,crash_time,borough,on_street,cross_street,contributing_factor,vehicle_type,persons_injured,persons_killed,lat,lon
2022-07-28,10:15:00,STATEN ISLAND,FOSTER ROAD,AMBOY ROAD,Unspecified,Bus,1,0,40.526752,-74.20118
2022-06-24,22:50:00,STATEN ISLAND,VETERANS ROAD WEST,TYRELLAN AVENUE,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.527668,-74.23023
2022-12-13,16:30:00,STATEN ISLAND,Unknown,Unknown,Turning Improperly,Sedan,0,0,40.528,-74.23547
2022-07-07,16:24:00,STATEN ISLAND,QUAIL LANE,PHEASANT LANE,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.5325,-74.222145
2022-02-05,12:00:00,STATEN ISLAND,MARCY AVENUE,RATHBUN AVENUE,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.538532,-74.20048
2022-03-30,17:50:00,STATEN ISLAND,BLOOMINGDALE ROAD,CLAY PIT ROAD,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.54013,-74.21769
2022-07-03,17:05:00,STATEN ISLAND,WINANT AVENUE,MASON BOULEVARD,Driver Inattention/Distraction,Sedan,1,0,40.543606,-74.21557
2022-06-13,12:00:00,STATEN ISLAND,ROSSVILLE AVENUE,MASON BOULEVARD,Unspecified,Sedan,1,0,40.54438,-74.20909
2022-01-05,08:00:00,STATEN ISLAND,BLOOMINGDALE ROAD,VETERANS ROAD WEST,Pavement Slippery,Sedan,1,0,40.54909,-74.22084
2022-10-05,12:32:00,STATEN ISLAND,JEWETT AVENUE,EGBERT AVENUE,Driver Inattention/Distraction,Sedan,0,0,40.624546,-74.13192
2022-10-20,17:09:00,STATEN ISLAND,BROADWAY,HARVEST AVENUE,View Obstructed/Limited,Sedan,0,0,40.626858,-74.11527
2022-12-10,19:00:00,STATEN ISLAND,Unknown,Unknown,Driver Inattention/Distraction,Pick-up Truck,0,0,40.626976,-74.11848
2022-09-10,07:00:00,STATEN ISLAND,FOREST AVENUE,BROADWAY,Driver Inattention/Distraction,Sedan,0,0,40.62894,-74.116196
2022-01-31,19:35:00,STATEN ISLAND,Unknown,Unknown,Unspecified,Sedan,0,0,40.629128,-74.11471
2022-03-14,08:35:00,STATEN ISLAND,Unknown,Unknown,Unspecified,Sedan,2,0,40.629208,-74.1139
2022-08-03,05:53:00,STATEN ISLAND,DELAFIELD AVENUE,CLOVE ROAD,Unspecified,Sedan,0,0,40.62925,-74.12323
2022-04-21,13:27:00,STATEN ISLAND,FOREST AVENUE,NORTH BURGHER AVENUE,Unspecified,Sedan,0,0,40.62928,-74.113365
2022-11-19,01:10:00,STATEN ISLAND,BEMENT AVENUE,FOREST AVENUE,Alcohol Involvement,Sedan,0,0,40.629684,-74.11123
2022-12-05,06:45:00,STATEN ISLAND,DUBOIS AVENUE,POST AVENUE,Unspecified,Sedan,1,0,40.63101,-74.12921
2022-03-28,09:02:00,STATEN ISLAND,Unknown,Unknown,Passing Too Closely,Sedan,0,0,40.631783,-74.12426
2022-08-28,20:55:00,STATEN ISLAND,RECTOR STREET,HURST STREET,Driver Inattention/Distraction,Sedan,0,0,40.63239,-74.12822
2022-10-19,06:55:00,STATEN ISLAND,Unknown,Unknown,Passing Too Closely,Sedan,0,0,40.6326,-74.117386
2022-08-19,12:00:00,STATEN ISLAND,Unknown,Unknown,Unspecified,Sedan,0,0,40.63287,-74.10987
2022-05-29,04:23:00,STATEN ISLAND,CASTLETON AVENUE,RECTOR STREET,Driver Inattention/Distraction,Sedan,0,0,40.63367,-74.12848
2022-01-05,16:15:00,STATEN ISLAND,CLOVE ROAD,CASTLETON AVENUE,Driver Inattention/Distraction,Sedan,1,0,40.633858,-74.12596
2022-09-21,18:00:00,STATEN ISLAND,CASTLETON AVENUE,BODINE STREET,Other Vehicular,Sedan,0,0,40.63392,-74.12514
2022-01-27,20:54:00,STATEN ISLAND,CASTLETON AVENUE,BROADWAY,Driver Inattention/Distraction,Sedan,2,0,40.634567,-74.1172
2022-08-01,16:15:00,STATEN ISLAND,HENDERSON AVENUE,ALASKA STREET,Unspecified,Sedan,0,0,40.63657,-74.120636
2022-11-13,09:30:00,STATEN ISLAND,Unknown,Unknown,Unspecified,Sedan,0,0,40.63995,-74.11328
2022-08-07,07:10:00,STATEN ISLAND,Unknown,Unknown,Unsafe Speed,Sedan,1,0,40.640575,-74.11883
2022-10-14,22:21:00,STATEN ISLAND,Unknown,Unknown,Aggressive Driving/Road Rage,Station Wagon/Sport Utility Vehicle,0,0,40.64519,-74.108215
2022-06-26,01:13:00,STATEN ISLAND,HYLAN BOULEVARD,HUGUENOT AVENUE,Alcohol Involvement,Station Wagon/Sport Utility Vehicle,1,0,40.524,-74.186104
2022-10-06,17:06:00,STATEN ISLAND,ALLEN PLACE,HYLAN BOULEVARD,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.52664,-74.16814
2022-04-18,22:11:00,STATEN ISLAND,AMBOY ROAD,ANNADALE ROAD,Pavement Slippery,Sedan,0,0,40.535923,-74.18084
2022-06-11,17:09:00,STATEN ISLAND,NORTH RAILROAD STREET,DRUMGOOLE ROAD EAST,Driver Inattention/Distraction,Sedan,1,0,40.536457,-74.189644
2022-12-06,12:10:00,STATEN ISLAND,OAKDALE STREET,RICHMOND AVENUE,Unspecified,Sedan,0,0,40.5415,-74.16254
2022-11-26,00:05:00,STATEN ISLAND,Unknown,Unknown,Unspecified,Sedan,0,0,40.542442,-74.165054
2022-10-26,16:00:00,STATEN ISLAND,RICHMOND AVENUE,AMBOY ROAD,Driver Inexperience,Station Wagon/Sport Utility Vehicle,0,0,40.543335,-74.164276
2022-06-11,16:00:00,STATEN ISLAND,ARDEN AVENUE,CARLTON BOULEVARD,Unsafe Lane Changing,Sedan,1,0,40.54493,-74.17731
2022-12-12,16:35:00,STATEN ISLAND,ARDEN AVENUE,DRUMGOOLE ROAD EAST,Failure to Yield Right-of-Way,Sedan,0,0,40.54653,-74.180435
2022-08-01,17:55:00,STATEN ISLAND,Unknown,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.547203,-74.19044
2022-07-05,16:16:00,STATEN ISLAND,Unknown,Unknown,Unspecified,Sedan,0,0,40.55039,-74.183044
2022-07-01,17:30:00,STATEN ISLAND,DRUMGOOLE ROAD EAST,MACON AVENUE,Following Too Closely,Sedan,0,0,40.557106,-74.17385
2022-07-06,10:13:00,STATEN ISLAND,WOODROW ROAD,WOEHRLE AVENUE,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.557243,-74.18115
2022-09-15,14:30:00,STATEN ISLAND,GURLEY AVENUE,RICHMOND AVENUE,Failure to Yield Right-of-Way,Sedan,1,0,40.559128,-74.16948
2022-06-22,21:30:00,STATEN ISLAND,RICHMOND AVENUE,GURLEY AVENUE,Pavement Slippery,Pick-up Truck,0,0,40.559128,-74.16948
2022-11-07,11:00:00,STATEN ISLAND,WOODROW ROAD,TYNAN STREET,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,1,0,40.562065,-74.18073
2022-06-15,16:14:00,STATEN ISLAND,RICHMOND AVENUE,DRUMGOOLE ROAD WEST,Unspecified,Sedan,1,0,40.56345,-74.169754
2022-05-23,09:56:00,STATEN ISLAND,SLOSSON AVENUE,SCHMIDTS LANE,Following Too Closely,Pick-up Truck,0,0,40.6094,-74.11657
2022-08-08,17:15:00,STATEN ISLAND,MANOR ROAD,WINDSOR ROAD,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.611744,-74.12203
2022-11-19,09:50:00,STATEN ISLAND,Unknown,Unknown,Unspecified,Sedan,0,0,40.61304,-74.13075
2022-11-30,08:00:00,STATEN ISLAND,Unknown,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.61318,-74.1213
2022-03-27,04:10:00,STATEN ISLAND,DONGAN AVENUE,BEECHWOOD PLACE,Unspecified,Sedan,0,0,40.6148,-74.12066
2022-09-24,17:45:00,BRONX,EAST 138 STREET,RIDER AVENUE,Following Too Closely,Station Wagon/Sport Utility Vehicle,0,0,40.81172,-73.92813
2022-12-20,15:13:00,BRONX,Unknown,Unknown,Following Too Closely,Sedan,1,0,40.811905,-73.92658
2022-05-07,14:03:00,BRONX,Unknown,Unknown,Backing Unsafely,Dump,0,0,40.812893,-73.9226
2022-11-11,07:40:00,BRONX,EAST 140 STREET,RIDER AVENUE,Traffic Control Disregarded,Dump,0,0,40.81334,-73.92672
2022-03-25,12:45:00,BRONX,EAST 141 STREET,CANAL PLACE,Unspecified,Sedan,0,0,40.81468,-73.92654
2022-05-25,22:11:00,BRONX,EAST 140 STREET,WALTON AVENUE,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.815113,-73.92978
2022-12-02,08:15:00,BRONX,GERARD AVENUE,EAST 140 STREET,Oversized Vehicle,Box Truck,0,0,40.81533,-73.930626
2022-10-01,12:00:00,BRONX,Unknown,Unknown,Unspecified,Sedan,0,0,40.81568,-73.92494
2022-02-11,17:31:00,BRONX,GRAND CONCOURSE,EAST 144 STREET,Traffic Control Disregarded,Bus,0,0,40.816532,-73.92822
2022-01-01,15:00:00,BRONX,COURTLANDT AVENUE,EAST 149 STREET,Failure to Yield Right-of-Way,Taxi,2,0,40.81655,-73.91955
2022-11-23,01:23:00,BRONX,EAST 149 STREET,COURTLANDT AVENUE,Driver Inattention/Distraction,Bus,1,0,40.81655,-73.91955
2022-08-14,17:07:00,BRONX,EAST 149 STREET,COURTLANDT AVENUE,Passing or Lane Usage Improper,Station Wagon/Sport Utility Vehicle,4,0,40.81655,-73.91955
2022-07-30,16:44:00,BRONX,Unknown,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.816887,-73.92087
2022-10-31,09:16:00,BRONX,MORRIS AVENUE,EAST 149 STREET,View Obstructed/Limited,Station Wagon/Sport Utility Vehicle,1,0,40.817387,-73.92277
2022-11-12,11:15:00,BRONX,GRAND CONCOURSE,EAST 149 STREET,Unspecified,Station Wagon/Sport Utility Vehicle,1,1,40.818558,-73.92732
2022-08-23,18:12:00,BRONX,GRAND CONCOURSE,EAST 149 STREET,Unsafe Speed,Sedan,1,0,40.818558,-73.92732
2022-05-07,20:03:00,BRONX,COURTLANDT AVENUE,EAST 156 STREET,Alcohol Involvement,Station Wagon/Sport Utility Vehicle,4,0,40.821274,-73.91743
2022-06-29,08:03:00,BRONX,EAST 158 STREET,3 AVENUE,Driver Inattention/Distraction,Sedan,2,0,40.821484,-73.91218
2022-03-10,05:59:00,BRONX,EAST 158 STREET,3 AVENUE,Alcohol Involvement,Station Wagon/Sport Utility Vehicle,1,0,40.821484,-73.91218
2022-02-17,18:11:00,BRONX,Unknown,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.822357,-73.911674
2022-11-30,11:35:00,BRONX,EAST 153 STREET,WALTON AVENUE,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,3,0,40.822456,-73.92692
2022-08-25,18:47:00,BRONX,RIVER AVENUE,EAST 151 STREET,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,2,0,40.822838,-73.928764
2022-06-05,17:05:00,BRONX,3 AVENUE,EAST 162 STREET,Turning Improperly,Sedan,1,0,40.823376,-73.90912
2022-08-23,02:35:00,BRONX,PARK AVENUE,EAST 158 STREET,Passing Too Closely,Station Wagon/Sport Utility Vehicle,0,0,40.823383,-73.91835
2022-05-22,22:18:00,BRONX,Unknown,Unknown,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Sedan,0,0,40.823612,-73.90987
2022-12-25,17:10:00,BRONX,Unknown,Unknown,Unspecified,Sedan,0,0,40.824352,-73.914406
2022-11-09,09:00:00,BRONX,Unknown,Unknown,Unspecified,Sedan,0,0,40.824474,-73.91255
2022-09-09,09:20:00,BRONX,Unknown,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.82461,-73.910484
2022-09-27,11:05:00,BRONX,GRAND CONCOURSE,EAST 158 STREET,Unsafe Speed,Sedan,1,0,40.825413,-73.923485
2022-05-19,11:00:00,BRONX,EAST 161 STREET,SHERMAN AVENUE,Passing Too Closely,Tanker,0,0,40.826153,-73.920265
2022-02-13,05:21:00,BRONX,EAST 161 STREET,SHERMAN AVENUE,Driver Inattention/Distraction,Sedan,0,0,40.826153,-73.920265
2022-03-30,10:11:00,BRONX,EAST 161 STREET,CONCOURSE VILLAGE WEST,Unspecified,Sedan,0,0,40.826397,-73.92116
2022-06-13,06:17:00,BRONX,RIVER AVENUE,EAST 158 STREET,Traffic Control Disregarded,Station Wagon/Sport Utility Vehicle,1,0,40.826607,-73.926636
2022-11-23,14:02:00,BRONX,EAST 161 STREET,GRAND CONCOURSE,Cell Phone (hands-free),Station Wagon/Sport Utility Vehicle,1,0,40.826836,-73.92263
2022-07-14,17:05:00,BRONX,EAST 161 STREET,WALTON AVENUE,Driver Inattention/Distraction,Sedan,1,0,40.827244,-73.92406
2022-10-23,06:05:00,BRONX,GRAND CONCOURSE,EAST 162 STREET,Unsafe Speed,Sedan,0,0,40.827682,-73.922165
2022-06-15,13:05:00,BRONX,RIVER AVENUE,EAST 161 STREET,Traffic Control Disregarded,E-Bike,1,0,40.827812,-73.925934
2022-10-15,10:25:00,BRONX,EAST 161 STREET,RIVER AVENUE,Traffic Control Disregarded,Station Wagon/Sport Utility Vehicle,0,0,40.827812,-73.925934
2022-05-20,21:31:00,BRONX,EAST 165 STREET,JEROME AVENUE,Driver Inattention/Distraction,Bike,1,0,40.832626,-73.925385
2022-05-26,17:00:00,BRONX,MCCLELLAN STREET,GERARD AVENUE,Driver Inattention/Distraction,Sedan,0,0,40.83383,-73.921234
2022-04-12,07:15:00,BRONX,WEST 166 STREET,NELSON AVENUE,Passing or Lane Usage Improper,Station Wagon/Sport Utility Vehicle,0,0,40.83533,-73.927
2022-04-26,09:07:00,BRONX,UNIVERSITY AVENUE,WEST 167 STREET,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.837708,-73.927635
2022-07-02,16:44:00,BRONX,WOODYCREST AVENUE,WEST 168 STREET,Traffic Control Disregarded,Sedan,1,0,40.8382,-73.92371
2022-06-23,08:15:00,BRONX,NELSON AVENUE,WEST 168 STREET,Unsafe Lane Changing,Station Wagon/Sport Utility Vehicle,0,0,40.83836,-73.92493
2022-01-12,16:00:00,BRONX,MARCY PLACE,JEROME AVENUE,Reaction to Uninvolved Vehicle,Station Wagon/Sport Utility Vehicle,0,0,40.83898,-73.9186
2022-07-12,17:20:00,BRONX,EAST 171 STREET,WYTHE PLACE,Driver Inattention/Distraction,Sedan,0,0,40.84029,-73.91436
2022-09-25,23:28:00,BRONX,WEST 170 STREET,SHAKESPEARE AVENUE,Driver Inattention/Distraction,Sedan,1,0,40.840424,-73.92239
2022-11-18,02:30:00,BRONX,MERRIAM AVENUE,WEST 170 STREET,Following Too Closely,Station Wagon/Sport Utility Vehicle,0,0,40.84177,-73.92549
2022-08-22,05:13:00,BRONX,GRAND CONCOURSE,EAST MOUNT EDEN AVENUE,Traffic Control Disregarded,Ambulance,0,0,40.843174,-73.91196
2022-10-28,00:19:00,BRONX,GRAND CONCOURSE,EAST MOUNT EDEN AVENUE,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0,0,40.843174,-73.91196
2022-02-26,14:30:00,BRONX,UNIVERSITY AVENUE,BOSCOBEL PLACE,Passing or Lane Usage Improper,Sedan,0,0,40.843906,-73.92413
2022-05-07,01:00:00,BRONX,JEROME AVENUE,EAST MOUNT EDEN AVENUE,Passing or Lane Usage Improper,Sedan,0,0,40.84434,-73.91475
2022-04-16,01:42:00,BRONX,JEROME AVENUE,CROSS BRONX EXPRESSWAY,Other Vehicular,E-Bike,1,0,40.845177,-73.91417
2022-05-09,18:00:00,BRONX,CROSS BRONX EXPRESSWAY,JEROME AVENUE,Reaction to Uninvolved Vehicle,Station Wagon/Sport Utility Vehicle,1,0,40.845177,-73.91417
2022-10-31,05:40:00,BRONX,JEROME AVENUE,FEATHERBED LANE,Alcohol Involvement,Sedan,0,0,40.84543,-73.91399
2022-11-16,18:50:00,BRONX,CROSS BRONX EXPRESSWAY,WALTON AVENUE,Other Vehicular,Tractor Truck Diesel,0,0,40.845154,-73.91196
2022-02-22,20:41:00,BRONX,MONTGOMERY AVENUE,WEST 174 STREET,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.847187,-73.92135
2022-09-22,17:00:00,BRONX,GRAND CONCOURSE,EAST 176 STREET,Unspecified,Sedan,1,0,40.847813,-73.90754
2022-01-28,23:23:00,BRONX,JEROME AVENUE,EAST 176 STREET,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Station Wagon/Sport Utility Vehicle,1,0,40.848637,-73.91169
2022-06-25,20:46:00,BRONX,GRAND CONCOURSE,EAST TREMONT AVENUE,Failure to Yield Right-of-Way,Sedan,0,0,40.849453,-73.906006
2022-07-23,05:30:00,BRONX,MONTGOMERY AVENUE,WEST 176 STREET,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.84962,-73.91938
2022-09-12,14:30:00,BRONX,JEROME AVENUE,WEST 177 STREET,Unspecified,Station Wagon/Sport Utility Vehicle,1,0,40.850018,-73.9107
2022-10-24,16:21:00,BRONX,EAST 177 STREET,JEROME AVENUE,Passing Too Closely,Bus,0,0,40.85018,-73.91059
2022-05-31,20:00:00,BRONX,UNIVERSITY AVENUE,WEST TREMONT AVENUE,Failure to Yield Right-of-Way,Sedan,0,0,40.850475,-73.915436
2022-03-25,16:40:00,BRONX,EAST TREMONT AVENUE,WALTON AVENUE,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.85132,-73.90842
2022-11-03,06:00:00,BRONX,CRESTON AVENUE,EAST 179 STREET,Other Vehicular,Station Wagon/Sport Utility Vehicle,1,0,40.8514,-73.90606
2022-08-22,11:25:00,BRONX,WEST BURNSIDE AVENUE,ANDREWS AVENUE,Unspecified,Sedan,1,0,40.85381,-73.91386
2022-10-18,06:43:00,BRONX,WEST BURNSIDE AVENUE,HARRISON AVENUE,Other Vehicular,Bus,0,0,40.85447,-73.91008
2022-03-02,14:28:00,BRONX,GRAND CONCOURSE,EAST 181 STREET,Passing Too Closely,Station Wagon/Sport Utility Vehicle,0,0,40.854588,-73.90187
2022-08-07,12:55:00,BRONX,DAVIDSON AVENUE,WEST 180 STREET,Unspecified,Sedan,0,0,40.854763,-73.90765
2022-02-07,06:35:00,BRONX,WEST 179 STREET,SEDGWICK AVENUE,Following Too Closely,Station Wagon/Sport Utility Vehicle,0,0,40.854874,-73.916794
2022-08-17,18:53:00,BRONX,MORRIS AVENUE,EAST 181 STREET,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.854958,-73.90397
2022-10-23,00:40:00,BRONX,ANDREWS AVENUE,WEST 179 STREET,Other Vehicular,Sedan,2,0,40.85525,-73.91277
2022-07-15,01:20:00,BRONX,MORRIS AVENUE,CAMERON PLACE,Unspecified,Sedan,0,0,40.855614,-73.90352
2022-04-29,06:20:00,BRONX,WEST 179 STREET,CEDAR AVENUE,Passing or Lane Usage Improper,Station Wagon/Sport Utility Vehicle,0,0,40.85592,-73.9172
2022-07-18,18:00:00,BRONX,WEST 180 STREET,ANDREWS AVENUE,Oversized Vehicle,Sedan,0,0,40.856014,-73.91213
2022-07-25,17:41:00,BRONX,MORRIS AVENUE,EAST 182 STREET,Driver Inattention/Distraction,Sedan,0,0,40.85673,-73.90279
2022-04-16,23:21:00,BRONX,Unknown,Unknown,Unsafe Lane Changing,Station Wagon/Sport Utility Vehicle,0,0,40.857098,-73.917206
2022-05-21,21:52:00,BRONX,UNIVERSITY AVENUE,FAME HALL TERRACE,Driver Inattention/Distraction,Sedan,0,0,40.857483,-73.909676
2022-04-26,14:50:00,BRONX,EAST 183 STREET,MORRIS AVENUE,Passing Too Closely,Bus,0,0,40.85809,-73.901924
2022-11-02,17:40:00,BRONX,MORRIS AVENUE,EAST 183 STREET,Following Too Closely,Station Wagon/Sport Utility Vehicle,4,0,40.85809,-73.901924
2022-09-21,09:52:00,BRONX,EAST 183 STREET,JEROME AVENUE,Failure to Yield Right-of-Way,Moped,1,0,40.858707,-73.9037
2022-05-27,01:35:00,BRONX,WEST 183 STREET,GRAND AVENUE,Unsafe Speed,Station Wagon/Sport Utility Vehicle,1,0,40.858994,-73.90573
2022-03-01,17:30:00,BRONX,MAJOR DEEGAN EXPRESSWAY,WEST FORDHAM ROAD,Unspecified,Sedan,0,0,40.861862,-73.91275
2022-05-22,03:20:00,BRONX,WEST FORDHAM ROAD,MAJOR DEEGAN EXPRESSWAY,Unspecified,Sedan,2,0,40.861862,-73.91275
2022-10-21,08:32:00,BRONX,MAJOR DEEGAN EXPRESSWAY,WEST FORDHAM ROAD,Steering Failure,Sedan,0,0,40.861862,-73.91275
2022-04-27,18:40:00,BRONX,MAJOR DEEGAN EXPRESSWAY,WEST FORDHAM ROAD,Following Too Closely,Sedan,0,0,40.861862,-73.91275
2022-12-04,21:47:00,BRONX,WEST FORDHAM ROAD,MAJOR DEEGAN EXPRESSWAY,Alcohol Involvement,Sedan,2,0,40.861862,-73.91275
2022-06-11,13:57:00,BRONX,WEST FORDHAM ROAD,MAJOR DEEGAN EXPRESSWAY,Turning Improperly,Sedan,2,0,40.861862,-73.91275
2022-07-18,02:30:00,BRONX,MAJOR DEEGAN EXPRESSWAY,WEST FORDHAM ROAD,Alcohol Involvement,Sedan,0,0,40.861862,-73.91275
2022-12-22,07:00:00,BRONX,EAST 133 STREET,WILLOW AVENUE,Unsafe Lane Changing,Station Wagon/Sport Utility Vehicle,0,0,40.801,-73.91371
2022-01-25,11:38:00,BRONX,EAST 136 STREET,WALNUT AVENUE,Unspecified,Sedan,0,0,40.801624,-73.90968
2022-03-12,16:45:00,BRONX,Unknown,Unknown,Aggressive Driving/Road Rage,Sedan,0,0,40.802296,-73.92073
2022-06-26,07:36:00,BRONX,Unknown,Unknown,Driver Inattention/Distraction,Bus,1,0,40.802296,-73.92073
2022-05-16,00:08:00,BRONX,BRUCKNER BOULEVARD,BROWN PLACE,Unspecified,Sedan,1,0,40.804695,-73.92239
2022-03-03,11:10:00,BRONX,Unknown,Unknown,Unspecified,Dump,0,0,40.80502,-73.92316
2022-12-16,19:40:00,BRONX,BRUCKNER BOULEVARD,EAST 140 STREET,Unspecified,Sedan,0,0,40.80549,-73.91031
2022-05-24,16:30:00,BRONX,BRUCKNER BOULEVARD,EAST 140 STREET,Following Too Closely,Sedan,0,0,40.80549,-73.91031
2022-12-22,08:30:00,BRONX,EAST 141 STREET,BRUCKNER BOULEVARD,Passing or Lane Usage Improper,Station Wagon/Sport Utility Vehicle,1,0,40.806065,-73.90905
2022-06-17,16:53:00,BRONX,Unknown,Unknown,Following Too Closely,Sedan,0,0,40.806126,-73.92186
2022-10-10,14:09:00,BRONX,BRUCKNER BOULEVARD,ALEXANDER AVENUE,Following Too Closely,Sedan,0,0,40.80684,-73.9275
2022-11-25,00:40:00,BRONX,BRUCKNER BOULEVARD,ALEXANDER AVENUE,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.80684,-73.9275
2022-01-28,17:10:00,BRONX,BRUCKNER BOULEVARD,ALEXANDER AVENUE,Unspecified,Sedan,0,0,40.80684,-73.9275
2022-05-16,11:39:00,BRONX,Unknown,Unknown,Unsafe Lane Changing,Station Wagon/Sport Utility Vehicle,0,0,40.807213,-73.92841
2022-10-15,01:31:00,BRONX,Unknown,Unknown,Unspecified,Sedan,0,0,40.807262,-73.92853
2022-01-20,15:40:00,BRONX,Unknown,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0,0,40.807514,-73.92913
2022-10-27,08:30:00,BRONX,BRUCKNER BOULEVARD,LINCOLN AVENUE,Following Too Closely,Station Wagon/Sport Utility Vehicle,0,0,40.8077,-73.92955
2022-03-28,15:00:00,BRONX,BROWN PLACE,EAST 138 STREET,Passing Too Closely,Station Wagon/Sport Utility Vehicle,1,0,40.807903,-73.92005
2022-12-02,08:45:00,BRONX,SAINT ANNS AVENUE,EAST 140 STREET,Unspecified,Taxi,0,0,40.808132,-73.916595
2022-09-29,18:08:00,BRONX,EAST 139 STREET,BROOK AVENUE,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,2,0,40.80826,-73.918816
2022-01-24,06:30:00,BRONX,SAINT MARYS STREET,CONCORD AVENUE,Unspecified,Taxi,0,0,40.8086,-73.909775
2022-03-08,12:50:00,BRONX,3 AVENUE,EAST 134 STREET,Backing Unsafely,Van,0,0,40.808857,-73.93014
2022-01-23,09:56:00,BRONX,Unknown,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.810043,-73.92782
2022-04-29,12:42:00,BRONX,Unknown,Unknown,Unspecified,Sedan,2,0,40.81032,-73.92372
2022-02-21,08:48:00,BRONX,Unknown,Unknown,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.811394,-73.916046
2022-04-08,15:00:00,BRONX,Unknown,Unknown,Driver Inattention/Distraction,Sedan,0,0,40.811844,-73.92382
2022-03-17,14:10:00,BRONX,Unknown,Unknown,Pavement Slippery,Box Truck,2,0,40.807228,-73.90262
2022-09-28,08:37:00,BRONX,EAST 144 STREET,CONCORD AVENUE,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.809456,-73.909454
2022-07-11,16:30:00,BRONX,BRUCKNER BOULEVARD,EAST 149 STREET,Unspecified,Beverage Truck,0,0,40.8097,-73.90304
2022-02-24,11:43:00,BRONX,Unknown,Unknown,Oversized Vehicle,Tractor Truck Diesel,0,0,40.809948,-73.9027
2022-08-27,00:36:00,BRONX,EAST 147 STREET,CONCORD AVENUE,Other Vehicular,Station Wagon/Sport Utility Vehicle,0,0,40.811584,-73.90868
2022-09-21,10:45:00,BRONX,SOUTHERN BOULEVARD,EAST 149 STREET,Unsafe Speed,Station Wagon/Sport Utility Vehicle,0,0,40.812126,-73.90419
2022-09-30,14:20:00,BRONX,Unknown,Unknown,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.81244,-73.90528
2022-12-16,13:00:00,BRONX,Unknown,Unknown,Lane Marking Improper/Inadequate,Box Truck,0,0,40.812584,-73.90733
2022-01-19,06:00:00,BRONX,BRUCKNER BOULEVARD,LEGGETT AVENUE,Following Too Closely,Sedan,0,0,40.813095,-73.89827
2022-12-16,04:22:00,BRONX,BRUCKNER BOULEVARD,LEGGETT AVENUE,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0,0,40.813095,-73.89827
2022-10-08,14:38:00,BRONX,Unknown,Unknown,Unspecified,Motorcycle,1,0,40.813114,-73.9007
2022-08-19,18:00:00,BRONX,EAST 149 STREET,JACKSON AVENUE,Unspecified,Station Wagon/Sport Utility Vehicle,0,0,40.813232,-73.90908
2022-03-15,13:00:00,BRONX,Unknown,Unknown,Following Too Closely,Station Wagon/Sport Utility Vehicle,0,0,40.81352,-73.899284
2022-11-06,21:00:00,BRONX,PROSPECT AVENUE,EAST 151 STREET,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1,0,40.81413,-73.90381
2022-09-20,09:00:00,BRONX,SAINT ANNS AVENUE,EAST 149 STREET,Following Too Closely,Station Wagon/Sport Utility Vehicle,0,0,40.814266,-73.912964
2022-11-13,13:30:00,BRONX,SOUTHERN BOULEVARD,EAST 156 STREET,Failure to Yield Right-of-Way,Unknown,1,0,40.814934,-73.89765
